Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON YIELD (Kg per ha)
10,1987,6,Madhya Pradesh,Narsinghpur,15,1200,43,1651.16,0,0,3.8,3394.74,0,0
10,1988,6,Madhya Pradesh,Narsinghpur,15.8,1006.33,45.3,1836.64,0.1,1000,4.7,3489.36,0,0
10,1989,6,Madhya Pradesh,Narsinghpur,13.4,828.36,46.2,1735.93,0.1,1000,4.4,3477.27,0,0
10,1990,6,Madhya Pradesh,Narsinghpur,11.4,1114.04,52.1,2166.99,0,0,2.76,3478.26,0,0
10,1991,6,Madhya Pradesh,Narsinghpur,11,1172.73,54,2490.74,0,0,3.01,4584.72,0,0
10,1992,6,Madhya Pradesh,Narsinghpur,10.6,1037.74,56.9,2567.66,0,0,3.13,4153.35,0,0
10,1993,6,Madhya Pradesh,Narsinghpur,10,1100,62,2606.45,0,0,2.93,4334.47,0,0
10,1994,6,Madhya Pradesh,Narsinghpur,9.1,1043.96,62.5,2908.8,0,0,6,4333.33,0,0
10,1995,6,Madhya Pradesh,Narsinghpur,9,800,60.4,2657.28,0,0,6.9,4463.77,0,0
10,1996,6,Madhya Pradesh,Narsinghpur,9.4,1085.11,59.6,2966.44,0,0,7.1,4492.96,0,0
10,1997,6,Madhya Pradesh,Narsinghpur,8.2,1097.56,88.4,1360.86,0,0,5.34,4456.93,0,0
10,1998,6,Madhya Pradesh,Narsinghpur,6.6,1166.67,90.4,1806.42,0,0,6.3,4666.67,0,0
10,1999,6,Madhya Pradesh,Narsinghpur,9.4,1276.6,81.5,3182.82,0.1,1000,5.8,4241.38,0,0
10,2000,6,Madhya Pradesh,Narsinghpur,10.8,842.59,77.3,3270.38,0.1,1000,7,4771.43,0,0
10,2001,6,Madhya Pradesh,Narsinghpur,13.2,1166.67,67.7,3196.46,0.1,2000,8,4762.5,0,0
10,2002,6,Madhya Pradesh,Narsinghpur,13,700,62.5,2729.6,0.2,1000,8.2,4670.73,0,0
10,2003,6,Madhya Pradesh,Narsinghpur,13.3,1172.93,60.5,3003.31,0.1,1000,8.2,4695.12,0,0
10,2004,6,Madhya Pradesh,Narsinghpur,14.03,1065.57,59.19,2854.2,0.06,1833.33,18.8,2701.06,0,0
10,2005,6,Madhya Pradesh,Narsinghpur,13.05,1067.43,54.52,2965.15,0.09,2333.33,25.63,3332.03,0,0
10,2006,6,Madhya Pradesh,Narsinghpur,13.61,1071.27,53.07,2862.82,0.05,2200,31.96,3602.63,0,0
10,2007,6,Madhya Pradesh,Narsinghpur,12.9,649.61,55,2863.64,0.1,2000,31.6,4892.41,0,0
10,2008,6,Madhya Pradesh,Narsinghpur,13.1,614.5,62.3,3044.94,0.1,2000,18.7,4994.65,0,0
10,2009,6,Madhya Pradesh,Narsinghpur,13.4,1111.94,65.1,2602.15,0.1,2000,16,4387.5,0,0
10,2010,6,Madhya Pradesh,Narsinghpur,12.5,1560,68.8,3297.96,0.1,2000,15.2,4401.32,0,0
10,2011,6,Madhya Pradesh,Narsinghpur,12,1791.67,63.6,3981.13,0.1,2000,25.6,4062.5,0,0
10,2012,6,Madhya Pradesh,Narsinghpur,12.91,1333.08,82,2936.83,0.11,3727.27,19.08,6097.48,0,0
10,2013,6,Madhya Pradesh,Narsinghpur,18.36,1361.11,93.17,2125.36,0.1,1900,24.26,4969.5,0,0
10,2014,6,Madhya Pradesh,Narsinghpur,18,1407.22,94,3244.68,0,0,40,5525,0,0
10,2015,6,Madhya Pradesh,Narsinghpur,34,2627.35,95,4084.21,0,0,51,5490.2,0,0
10,2016,6,Madhya Pradesh,Narsinghpur,55,2812,100,4040,0,0,55,7305.45,0,0
10,2017,6,Madhya Pradesh,Narsinghpur,39.1,4636.83,92,3485.98,0.02,2000,51.1,588.49,0,0
11,1966,6,Madhya Pradesh,Seoni / Shivani,78,666.67,63,460.32,7,428.57,0.5,3200,0,0
11,1967,6,Madhya Pradesh,Seoni / Shivani,78,987.18,72,388.89,9.8,714.29,0.6,3166.67,0,0
11,1968,6,Madhya Pradesh,Seoni / Shivani,82.2,961.07,87.9,432.31,9.9,303.03,0.8,3125,0,0
11,1969,6,Madhya Pradesh,Seoni / Shivani,82.9,1141.13,90.3,392.03,4.1,780.49,0.9,3222.22,0,0
11,1970,6,Madhya Pradesh,Seoni / Shivani,84.2,1216.15,87.5,384,4.7,851.06,0.8,3250,0,0
11,1971,6,Madhya Pradesh,Seoni / Shivani,87.7,1263.4,86.7,430.22,5.4,814.81,0.7,3428.57,0,0
11,1972,6,Madhya Pradesh,Seoni / Shivani,87.4,1348.97,79.4,506.3,5.7,543.86,0.7,3142.86,0,0
11,1973,6,Madhya Pradesh,Seoni / Shivani,83.3,1388.96,67.9,379.97,5.5,690.91,0.6,3666.67,0,0
11,1974,6,Madhya Pradesh,Seoni / Shivani,83.8,659.9,63.4,569.4,5.9,711.86,0.6,3666.67,0,0
11,1975,6,Madhya Pradesh,Seoni / Shivani,84.3,1167.26,71.6,519.55,6.1,885.25,0.6,3666.67,0,0
11,1976,6,Madhya Pradesh,Seoni / Shivani,87.2,663.99,67.1,281.67,5.4,555.56,0.7,3285.71,0,0
11,1977,6,Madhya Pradesh,Seoni / Shivani,88.3,1148.36,79.7,267.25,3.8,657.89,0.4,3500,0,0
11,1978,6,Madhya Pradesh,Seoni / Shivani,90.2,651.88,81.3,492,3.1,387.1,0.4,3750,0,0
